2022-05-09 00:16:46,645 [INFO] in __init__ : method: GET,  path: /transactions,  status: 302,  time: 2022-05-09T00:16:46Z,  ip: 192.168.48.1, 
2022-05-09 00:16:46,793 [INFO] in __init__ : method: GET,  path: /login,  status: 200,  time: 2022-05-09T00:16:46Z,  ip: 192.168.48.1, 
2022-05-09 00:17:08,625 [INFO] in __init__ : method: GET,  path: /register,  status: 200,  time: 2022-05-09T00:17:08Z,  ip: 192.168.48.1, 
2022-05-09 00:17:17,860 [INFO] in __init__ : method: POST,  path: /register,  status: 302,  time: 2022-05-09T00:17:17Z,  ip: 192.168.48.1, 
2022-05-09 00:17:17,889 [INFO] in __init__ : method: GET,  path: /login,  status: 302,  time: 2022-05-09T00:17:17Z,  ip: 192.168.48.1, 
2022-05-09 00:17:17,999 [INFO] in __init__ : method: GET,  path: /dashboard,  status: 200,  time: 2022-05-09T00:17:17Z,  ip: 192.168.48.1, 
2022-05-09 00:17:22,135 [INFO] in __init__ : method: GET,  path: /transactions,  status: 200,  time: 2022-05-09T00:17:22Z,  ip: 192.168.48.1, 
2022-05-09 00:17:23,314 [INFO] in __init__ : method: GET,  path: /transactions/upload,  status: 200,  time: 2022-05-09T00:17:23Z,  ip: 192.168.48.1, 
2022-05-09 00:17:33,398 [INFO] in __init__ : method: POST,  path: /transactions/upload,  status: 302,  time: 2022-05-09T00:17:33Z,  ip: 192.168.48.1, 
2022-05-09 00:17:33,446 [INFO] in __init__ : method: GET,  path: /transactions,  status: 200,  time: 2022-05-09T00:17:33Z,  ip: 192.168.48.1, 
2022-05-09 00:17:35,457 [INFO] in __init__ : method: GET,  path: /dashboard,  status: 200,  time: 2022-05-09T00:17:35Z,  ip: 192.168.48.1, 
2022-05-09 00:18:36,407 [INFO] in __init__ : method: GET,  path: /transactions,  status: 200,  time: 2022-05-09T00:18:36Z,  ip: 192.168.48.1, 
2022-05-09 00:20:14,699 [INFO] in __init__ : method: GET,  path: /transactions,  status: 200,  time: 2022-05-09T00:20:14Z,  ip: 192.168.48.1, 
2022-05-09 00:20:16,194 [INFO] in __init__ : method: GET,  path: /transactions,  status: 200,  time: 2022-05-09T00:20:16Z,  ip: 192.168.48.1, 
2022-05-09 00:20:17,316 [INFO] in __init__ : method: GET,  path: /transactions/upload,  status: 200,  time: 2022-05-09T00:20:17Z,  ip: 192.168.48.1, 
2022-05-09 00:20:25,094 [INFO] in __init__ : method: POST,  path: /transactions/upload,  status: 302,  time: 2022-05-09T00:20:25Z,  ip: 192.168.48.1, 
2022-05-09 00:20:25,136 [INFO] in __init__ : method: GET,  path: /transactions,  status: 200,  time: 2022-05-09T00:20:25Z,  ip: 192.168.48.1, 
2022-05-09 00:20:33,347 [INFO] in __init__ : method: GET,  path: /dashboard,  status: 200,  time: 2022-05-09T00:20:33Z,  ip: 192.168.48.1, 
2022-05-09 17:15:53,165 [INFO] in __init__ : method: GET,  path: /,  status: 200,  time: 2022-05-09T17:15:53Z,  ip: 192.168.48.1, 
2022-05-09 17:15:57,460 [INFO] in __init__ : method: GET,  path: /transactions,  status: 302,  time: 2022-05-09T17:15:57Z,  ip: 192.168.48.1, 
2022-05-09 17:15:57,489 [INFO] in __init__ : method: GET,  path: /login,  status: 200,  time: 2022-05-09T17:15:57Z,  ip: 192.168.48.1, 
2022-05-09 17:18:27,348 [INFO] in __init__ : method: GET,  path: /,  status: 200,  time: 2022-05-09T17:18:27Z,  ip: 192.168.48.1, 
2022-05-09 17:18:29,087 [INFO] in __init__ : method: GET,  path: /register,  status: 200,  time: 2022-05-09T17:18:29Z,  ip: 192.168.48.1, 
2022-05-09 17:18:38,113 [INFO] in __init__ : method: POST,  path: /register,  status: 302,  time: 2022-05-09T17:18:38Z,  ip: 192.168.48.1, 
2022-05-09 17:18:38,132 [INFO] in __init__ : method: GET,  path: /login,  status: 200,  time: 2022-05-09T17:18:38Z,  ip: 192.168.48.1, 
2022-05-09 17:18:44,148 [INFO] in __init__ : method: POST,  path: /login,  status: 302,  time: 2022-05-09T17:18:44Z,  ip: 192.168.48.1, 
2022-05-09 17:18:44,273 [INFO] in __init__ : method: GET,  path: /dashboard,  status: 200,  time: 2022-05-09T17:18:44Z,  ip: 192.168.48.1, 
2022-05-09 17:18:47,663 [INFO] in __init__ : method: GET,  path: /transactions,  status: 200,  time: 2022-05-09T17:18:47Z,  ip: 192.168.48.1, 
2022-05-09 17:18:49,185 [INFO] in __init__ : method: GET,  path: /transactions/upload,  status: 200,  time: 2022-05-09T17:18:49Z,  ip: 192.168.48.1, 
2022-05-09 17:19:01,226 [INFO] in __init__ : method: POST,  path: /transactions/upload,  status: 302,  time: 2022-05-09T17:19:01Z,  ip: 192.168.48.1, 
2022-05-09 17:19:01,266 [INFO] in __init__ : method: GET,  path: /transactions,  status: 200,  time: 2022-05-09T17:19:01Z,  ip: 192.168.48.1, 
2022-05-09 17:20:15,762 [INFO] in __init__ : method: GET,  path: /transactions,  status: 200,  time: 2022-05-09T17:20:15Z,  ip: 192.168.48.1, 
2022-05-09 17:24:53,979 [INFO] in __init__ : method: GET,  path: /transactions,  status: 200,  time: 2022-05-09T17:24:53Z,  ip: 192.168.48.1, 
2022-05-09 17:29:24,731 [INFO] in __init__ : method: GET,  path: /transactions,  status: 200,  time: 2022-05-09T17:29:24Z,  ip: 192.168.48.1, 
2022-05-09 17:29:59,590 [INFO] in __init__ : method: GET,  path: /transactions,  status: 200,  time: 2022-05-09T17:29:59Z,  ip: 192.168.48.1, 
